Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
428,Jeff Shaw,27,MON,67.1,,46,287,264,32,67,13,1,8,6,2,15,47,0.254,0.295,0.402,0.696,0.277,106,1,2,2,4,2,6
429,Paul Shuey,23,CLE,11.2,,14,62,50,11,14,5,0,1,4,0,12,16,0.28,0.419,0.44,0.859,0.394,22,1,0,0,0,1,1
430,Heathcliff Slocumb,28,PHI,72.1,,52,322,286,32,75,15,0,0,5,4,28,58,0.262,0.328,0.315,0.643,0.323,90,2,2,2,4,4,9
431,Aaron Small,22,TOR,2,,1,13,10,2,5,0,0,1,0,0,2,0,0.5,0.538,0.8,1.338,0.4,8,0,0,0,1,0,0
432,John Smiley*,29,CIN,158.2,1,24,672,615,80,169,32,2,18,16,7,37,112,0.275,0.32,0.421,0.741,0.311,259,9,4,16,0,3,9
433,Dan Smith*,25,TEX,14.2,,13,76,64,11,18,4,0,2,2,0,12,9,0.281,0.395,0.438,0.832,0.302,28,1,0,0,0,0,2
434,Lee Smith,36,BAL,38.1,,41,160,142,16,34,4,1,6,3,0,11,42,0.239,0.29,0.408,0.699,0.292,58,2,0,5,2,1,2
435,Pete Smith,28,NYM,131.1,,21,565,509,83,145,29,4,25,4,7,42,62,0.285,0.338,0.505,0.842,0.28,257,10,2,5,7,4,4
436,Willie Smith,26,STL,7,,8,33,30,7,9,1,0,4,1,0,3,7,0.3,0.364,0.733,1.097,0.263,22,0,0,0,0,0,0
437,Zane Smith*,33,PIT,157,,25,645,601,67,162,26,2,18,13,4,34,57,0.27,0.307,0.409,0.717,0.272,246,19,0,7,3,7,10
438,Roger Smithberg,28,OAK,2.1,,2,13,12,4,6,0,0,1,0,0,1,3,0.5,0.538,0.75,1.288,0.625,9,0,0,0,0,0,0
439,John Smoltz,27,ATL,134.2,,21,568,503,69,120,19,3,15,2,4,48,113,0.239,0.307,0.378,0.684,0.276,190,8,4,7,6,4,8
440,Paul Spoljaric*,23,TOR,2.1,,2,21,12,10,5,2,0,3,1,1,9,2,0.417,0.667,1.333,2,0.286,16,0,0,0,0,1,1
441,Jerry Spradlin,27,CIN,8,,6,38,34,11,12,1,1,2,1,0,2,4,0.353,0.368,0.618,0.986,0.333,21,1,0,0,2,0,0
442,Russ Springer,25,CAL,45.2,,18,198,182,28,53,13,0,9,3,2,14,28,0.291,0.34,0.511,0.851,0.301,93,3,0,1,1,0,1
443,Randy St. Claire,33,TOR,2,,2,12,9,4,4,1,0,0,0,1,2,2,0.444,0.545,0.556,1.101,0.571,5,0,0,1,0,1,1
444,Mike Stanton*,27,ATL,45.2,,49,197,165,18,41,4,1,2,3,4,26,35,0.248,0.359,0.321,0.68,0.302,53,2,3,2,1,3,1
445,Dave Stevens,24,MIN,45,,24,208,182,35,55,10,2,6,3,4,23,24,0.302,0.383,0.478,0.862,0.322,87,2,1,2,0,2,2
446,Dave Stewart,37,TOR,133.1,,22,602,530,89,151,26,3,26,15,6,62,111,0.285,0.362,0.492,0.854,0.315,261,7,4,2,4,4,3
447,Phil Stidham,25,DET,4.1,,5,26,21,12,12,2,0,3,0,1,4,4,0.571,0.615,1.095,1.711,0.6,23,2,0,0,1,1,0
448,Todd Stottlemyre,29,TOR,140.2,,26,605,540,67,149,31,5,19,19,9,48,105,0.276,0.34,0.457,0.797,0.309,247,11,7,4,5,2,7
449,Rick Sutcliffe,38,STL,67.2,,16,319,281,53,93,17,3,11,7,3,32,26,0.331,0.402,0.53,0.932,0.335,149,5,2,3,1,2,1
